ID, Rinkname, Phone, Email, Website, LineOne, LineTwo, City, State, Zip, Description
1,36 Skate Club,937-773-2841,sk8thirtysix@aol.com,,4835 West US Route 36,,Piqua,OH,45356,OH043
2,A.J. Skateworld LLC,434-665-6971,,,460 Old Courthouse Road,,Appomattox,VA,24522,VA053
3,A.P.E. Management LLC Dba The Rink Family Fun Cent,,ericpena1977@aol.com,,901 N. Raul Longoria Rd.,,San Juan,TX,78589,TX381
4,Adrenaline Skating Center,302-654-5520,rollers@yahoo.com,http://www.adrenalineskating.com,215 New Road,,Elsmere,DE,19805,DE001
5,Adrian Skatery II Inc,517-265-6918,,,3120 North Adrian Highway,,Adrian,MI,49221,MI013
6,Adventure World Family Fun Center,540-382-1717,joycebennett1@adventureworldonline.com,http://www.adventureworldonline.com,200 Midway Plaza NW,,Christiansburg,VA,24073,VA103
7,Airline Skate Center Inc,504-733-0102,bobatasc@aol.com,http://www.airlineskatecenterwola.com,6711 Airline Drive,,Metairie,LA,70003,LA063
8,Airline Skate Ctr Inc,281-448-7845,jemamaxx@aol.com,http://www.airlineskatecenter.com,10715 Airline Drive,,Houston,TX,77037,TX069
9,All American Skating Center,770-469-9775,jburton@iceforum.com,http://www.allamericanrecreationcenter.com,5400 Bermuda Road @ West Park Place,,Stone Mountain,GA,30087,GA084
10,Allskate Fun Center Inc,517-787-8716,mark@allskate.net,http://www.allskate.net,1313 West North Street,,Jackson,MI,49202,MI130
11,Almeda Super Rink,713-941-7000,wulff1514@aol.com,,10750 Almeda Genoa,,Houston,TX,77034,TX025
12,Aloha Roller Palace of Mesquite,,email@isnotavail.com,,311 Gross Rd,,Mesquite,TX,75149,TX059
13,Alvin Skate-N-Party LLC,281-756-0507,,http://www.alvinskateparty.com,1701 West Highway 6,,Alvin,TX,77511,TX371
14,Anderson Roll Arena Inc,765-644-7503,rollarena7@netzero.net,http://www.rollarena.com,2711 Broadway,,Anderson,IN,46012-0000,IN060
15,Angelo Skate and Fun Center,325-944-7465,sanangelo@yahoo.com,http://www.angelorink.com,34 Buick Street,,San Angelo,TX,76901,TX913
16,Ashtabula's Family Roller Den,440-964-9199,andrus1@adelphia.net,http://www.rollerden.net,2255 West Avenue,,Ashtabula,OH,44004,OH111
17,Astro Skate and Fun Center,727-546-0018,magamiask@aol.com,http://www.astroskatingcenter.com,10001 66th Street North,,Pinellas Park,FL,34782,FL033
18,Astro Skate and Fun Center,727-938-5778,maganiask@aol.com,http://www.astroskatingcenter.com,875 Cypress,,Tarpon Springs,FL,34689,FL226
19,Auburn Skate Connection,253-833-4990,sk8auburn1@wmconnect.com,http://www.auburnskate.com,1825 Howard Road,,Auburn,WA,98002,WA021
20,Aurora Skate Center,630-898-5830,urora@sbcglobal.net,http://www.SkateAurora.com,34W113 Montgomery Road,,Aurora,IL,60504,IL010
21,B & D South Skate Center,816-252-1084,bdmcdonald3535@sbcglobal.net,,13903 Noland Court,,Independence,MO,64055,MO010
22,B & J Skate Center,816-364-1314,jerry@skatebj.com,http://www.skatebj.com,6421 North 71 Highway,,St Joseph,MO,64506,MO062
23,Bamboozles Skating & Event Center,239-482-7199,gobamboozles@aol.com,,2095 Andrea Lane,,Fort Myers,FL,33912,FL119
24,Bardstown Rink Inc,502-348-6622,pblanfor@bellsouth.net,,209 East Broadway,,Bardstown,KY,40004,KY027
25,Bastrop Skating Palace,512-303-0320,patricia6457@sbcglobal.net,,488 Hwy 95,,Bastrop,TX,78602,TX247
26,Bear Creek Roller Rink,281-463-6020,,http://www.bearcreekskate.com,5210 Highway 6 North,,Houston,TX,77084,TX149
27,Beechmont Rollarena,513-753-6869,,,3988 Commercial Boulevard,,Cincinnati,OH,45245,OH152
28,Bell's Rink,260-749-8214,,,7009 Lincoln Highway East,,Fort Wayne,IN,46803-0000,IN001
29,Bibb Skate Arena,478-788-1321,skates47@netzero.net,,5335 Hawkinsville Road,,Macon,GA,31216,GA097
30,Big Wheel,,,http://www.bigwheelskating.com,Route 191 North 5th Street,,East Stroudsburg,PA,18301,PA097
31,Bonanza Roll-A-Rama,618-242-5880,,,Route 15 East,,Mt Vernon,IL,62864,IL141
32,Bonaventure Rllr Sktg Ctr,248-476-2201,lbill@bonaventureskate.com,http://www.bonaventureskate.com,24505 Halsted Road,,Farmington Hills,MI,48335,MI003
33,Boomer Rock n' Roll Skate Park,580-256-3329,kristinamassey07@aol.com,,309 22nd St,,Woodward,OK,73801,OK084
34,Branch Brook Park,973-482-8900,jmartin@usa-skating.com,http://www.bbpskating.com,7th Ave & Clifton Ave,,Newark,NJ,7104,NJ072
35,Breakaway Skating Center,,breakawayskatingcenter@hotmail.com,,2850 Airline Blvd Suite A,,Portsmouth,VA,23701,VA106
36,Bremerton Skateland,360-917-0110,,,1740 NE Fuson Road,,Bremerton,WA,98311,WA053
37,Bridgeport Skate World,304-842-4426,,,Masmie Drive & Broadway,,Bridgeport,WV,26330,WV023
38,Brockway Roller Skating Ctr,989-792-8433,rolex3vett@aol.com,http://www.brockwayrollerskating.com,5550 Brockway Road,,Saginaw,MI,48638,MI009
39,Broken Arrow Roller Sports,918-251-6200,darrin@brokenarrowrollersports.com,http://www.brokenarrowrollersports.com,551 West Oakland Place,,Broken Arrow,OK,74012,OK017
40,Brookpark Skateland,216-267-3966,,http://www.brookparkskateland.com,13445 Brookpark Road,,Brookpark,OH,44142,OH008
